company,stock_name,fye,qtr,qrd,date_announced,cipr,pipr,ccpr,pcpr,cippl,pippl,ccppl,pcppl,cipplt,pipplt,ccpplt,pcpplt,ref
UNISEM (M) BERHAD,"UNISEM  
 ",31/12/2004,4,31/12/2004,17 Feb 2005  ,120710,95064,493900,281604,"-1,857","9,232","33,633","-4,008",568,"8,933","34,277","-3,307",568685
YEO HIAP SENG (MALAYSIA) BERHAD,"YHS  
 ",31/12/2004,4,31/12/2004,16 Feb 2005  ,88313,102055,373243,408629,"2,958","6,556","17,380","24,091",771,"4,452","11,455","18,099",568686
HYUNDAI-BERJAYA CORPORATION BERHAD,"HBJCORP  
 ",31/1/2005,3,30/6/2005,28 Mar 2005  ,349783,207690,1100390,719788,"42,649","41,691","120,143","112,668","30,235","34,675","84,212","84,315",568687
YA HORNG ELECTRONIC (M) BHD,"YAHORNG  
 ",31/1/2005,4,31/1/2005,28 Mar 2005  ,24582,19324,102738,78070,219,839,"4,820","4,543","2,372",601,"5,639","3,788",568699
PREMIUM NUTRIENTS BERHAD,"PREMIUM  
 ",31/12/2004,4,31/12/2004,14 Mar 2005  ,115656,80154,393480,364150,"1,988","-26,926","8,328","-19,894","1,728","-27,658","8,068","-20,626",568700
BERJAYA CAPITAL BERHAD,"BJCAP  
 ",31/1/2005,3,30/4/2005,9 Mar 2005  ,65336,76659,192337,191572,"39,720","47,531","91,316","104,395","29,079","31,668","63,859","70,767",568704
AIRASIA BERHAD,"AIRASIA  
 ",31/12/2004,2,30/6/2005,18 Feb 2005  ,178633,0,302831,0,"45,722",0,"56,347",0,"44,361",0,"54,839",0,568714
HEITECH PADU BERHAD,"HTPADU  
 ",31/12/2004,4,31/12/2004,18 Feb 2005  ,116663,70934,311976,226863,977,"9,148","20,528","29,925",-270,"7,860","12,228","22,453",568717
ADVENTA BERHAD,"ADVENTA  
 ",31/1/2005,4,31/1/2005,25 Mar 2005  ,32257,0,102546,0,"4,931",0,"13,485",0,"4,877",0,"11,248",0,568726
YUNG KONG GALVANISING INDUSTRIES BHD,"YUNKONG  
 ",31/12/2004,4,31/12/2004,18 Feb 2005  ,66264,58251,269190,219341,"1,963",958,"15,798","14,124","1,438","1,017","10,106","9,227",568728
KUCHAI DEVELOPMENT BERHAD,"KUCHAI  
 ",31/12/2004,4,31/12/2004,17 Feb 2005  ,400,274,3429,2405,142,94,"3,658",639,82,33,"3,025",170,568729
A & M REALTY BERHAD,"A&M  
 ",31/12/2005,4,31/12/2005,27 Feb 2006  ,26238,33124,96464,138746,"3,554","4,710","12,619","11,959","2,780","2,939","8,887","7,112",568745
CHANGHUAT CORPORATION BERHAD,"CHANG  
 ",31/12/2005,2,30/6/2006,27 Feb 2006  ,24549,34491,49361,69897,"-1,006",456,"-3,191","2,195",-910,825,"-3,189","2,232",568753
COMINTEL CORPORATION BHD,"COMINTL  
 ",31/1/2007,4,31/1/2007,29 Mar 2007  ,83071,85270,324287,297887,512,"3,616","-1,459","2,063","1,323","3,499","-3,946",778,568767
FOUNTAIN VIEW DEVELOPMENT BERHAD,"FOUTAIN  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,32255,30500,118495,30500,"9,161","6,707","36,455","6,707","6,393","4,740","26,915","4,740",568806
BTM RESOURCES BERHAD,"BTM  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,3880,4976,25144,27271,"-5,907",-611,"-10,368","-3,960","-5,907",-540,"-10,368","-3,866",568818
OMEGA HOLDINGS BERHAD,"OMEGA  
 ",31/12/2004,2,30/6/2004,28 Feb 2005  ,0,253,0,557,-337,-212,-470,-180,-337,-212,-475,-180,568844
WEIDA (M) BHD,"WEIDA  
 ",31/12/2004,3,31/3/2005,28 Feb 2005  ,26956,32342,98232,90442,"4,611","6,024","15,820","14,358","2,937","3,083","9,789","9,045",568850
PALETTE MULTIMEDIA BERHAD,"PALETTE  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,2002,17907,15375,27568,356,"-2,237","2,896","-4,078",356,"-2,237","2,897","-4,086",568854
SARAWAK ENTERPRISE CORPORATION BERHAD,"SARAWAK  
 ",31/12/2004,4,31/12/2004,27 Apr 2005  ,64035,52040,220800,265060,"157,095","70,115","75,610","101,999","154,117","57,893","37,932","68,314",568871
CB INDUSTRIAL PRODUCT HOLDING BERHAD,"CBIP  
 ",31/3/2005,1,31/12/2005,31 May 2005  ,40382,34847,40382,34847,"5,231","3,610","5,231","3,610","3,298","2,468","3,298","2,468",568927
INTEGRAX BERHAD,"INTEGRA  
 ",31/3/2005,1,31/12/2005,31 May 2005  ,21641,22188,21641,22188,"11,948","10,976","11,948","10,976","7,425","6,330","7,425","6,330",568932
SETEGAP BERHAD,"SETEGAP  
 ",31/3/2005,1,31/12/2005,31 May 2005  ,13304,26296,13304,26296,"-4,355","-1,500","-4,355","-1,500","-6,387","-2,941","-6,387","-2,941",568948
ASDION BERHAD,"ASDION  
 ",31/3/2005,1,31/12/2005,31 May 2005  ,1808,,1808,,75,,75,,52,,52,,568963
D'NONCE TECHNOLOGY BHD,"DNONCE  
 ",28/2/2005,2,31/8/2005,26 Apr 2005  ,35978,34233,72338,70923,495,576,"1,511","1,521",381,136,"1,127",490,568972
MAXBIZ CORPORATION BERHAD,"MAXBIZ  
 ",31/3/2005,1,31/12/2005,31 May 2005  ,16927,0,16927,0,"1,338",0,"1,388",0,977,0,977,0,568973
BINAIK EQUITY BERHAD,"BINAIK  
 ",31/3/2005,1,31/12/2005,25 Apr 2005  ,18161,23441,18161,23441,"1,945","3,561","1,945","3,561","1,488","2,802","1,488","2,802",568976
CENTURY LOGISTICS HOLDINGS BERHAD,"CENTURY  
 ",31/12/2004,4,31/12/2004,24 Feb 2005  ,31806,21255,96678,76521,352,"1,249","3,810","3,327",436,647,"2,031","1,299",568985
TELEKOM MALAYSIA BERHAD,"TELEKOM  
 ",31/12/2004,4,31/12/2004,24 Feb 2005  ,3465105,3200009,13250900,11796350,"943,773","511,299","3,172,839","1,810,452","824,200","499,760","2,613,460","1,390,414",568988
SHH RESOURCES HOLDINGS BERHAD,"SHH  
 ",31/12/2004,2,30/6/2005,24 Feb 2005  ,47547,42272,100651,79160,"1,206",68,"3,422",-240,"1,046",68,"2,963",-240,568990
PACIFICMAS BERHAD,"PACMAS  
 ",31/12/2004,4,31/12/2004,24 Feb 2005  ,49246,48547,201726,174815,"15,962","10,165","56,320","49,374","10,734","7,129","38,154","35,598",568991
BINTAI KINDEN CORPORATION BERHAD,"BINTAI  
 ",31/12/2004,3,31/3/2005,24 Feb 2005  ,223133,52608,761966,162499,"1,609","-9,244","7,177","-5,682",428,"-8,747","2,912","-6,620",569013
DIGISTAR CORPORATION BERHAD,"DIGISTA  
 ",31/12/2004,1,30/9/2005,24 Feb 2005  ,12274,13484,12274,13484,"1,856","2,204","1,856","2,204","1,309","1,523","1,309","1,523",569019
LAND & GENERAL BERHAD,"L&G  
 ",31/12/2004,4,31/3/2005,24 Feb 2005  ,29977,44474,129365,200350,"-5,583","18,084","-2,251","16,163","11,651","11,062","9,020","6,704",569020
EXCEL FORCE MSC BERHAD,"EFORCE  
 ",31/12/2004,4,31/12/2004,23 Feb 2005  ,2020,0,4299,3249,761,0,"1,571","1,518",756,0,"1,519","1,513",569029
NATIONWIDE EXPRESS COURIER SERVICES BERHAD,"NATWIDE  
 ",31/12/2004,3,31/3/2005,24 Feb 2005  ,17197,16143,52760,49640,"1,712","1,603","4,998","6,186","1,134","1,089","3,401","4,367",569044
AKN TECHNOLOGY BERHAD,"AKN  
 ",31/3/2005,4,31/3/2005,30 May 2005  ,97547,123437,400687,403563,"-41,809","8,118","-30,157","31,560","-40,941","7,438","-29,656","27,812",569059
EMAS KIARA INDUSTRIES BERHAD,"EKIB  
 ",31/3/2005,1,31/12/2005,30 May 2005  ,21182,22933,21182,22933,"2,457","2,522","2,457","2,522","1,926","2,087","1,926","2,087",569069
BIMB HOLDINGS BERHAD,"BIMB  
 ",31/3/2005,3,30/6/2005,30 May 2005  ,100254,100834,301605,318931,"4,566","12,192","34,892","74,686","-2,208","4,960","17,008","43,031",569080
MANULIFE (MALAYSIA) INSURANCE MALAYSIA BERHAD,"MANULFE  
 ",31/3/2005,1,31/12/2005,30 May 2005  ,98345,96902,98345,96902,"12,774","11,305","12,774","11,305","9,144","8,047","9,144","8,047",569098
SIME UEP PROPERTIES BERHAD,"SIMEPTY  
 ",31/12/2004,2,30/6/2005,22 Feb 2005  ,99706,122925,247409,226540,"55,471","40,965","96,556","91,245","51,284","30,184","80,882","69,845",569099
METRONIC GLOBAL BERHAD,"MTRONIC  
 ",31/3/2005,1,31/12/2005,30 May 2005  ,21007,6203,21007,6203,"3,099",658,"3,099",658,"2,090",436,"2,090",436,569105
KELADI MAJU BHD,"KELADI  
 ",31/1/2005,4,31/1/2005,29 Mar 2005  ,16634,10165,53635,46159,"7,079","3,876","16,161","13,538","4,872","2,784","11,061","9,573",569117
MINTYE INDUSTRIES BHD,"MINTYE  
 ",31/1/2005,4,31/1/2005,30 Mar 2005  ,13878,12788,59776,51001,"2,146","1,845","9,020","9,938","1,733","1,402","6,183","7,585",569118
MEGAN MEDIA HOLDINGS BERHAD,"MEGAN  
 ",31/1/2005,3,30/4/2005,30 Mar 2005  ,211989,139025,637094,365381,"15,551","24,576","53,475","44,277","15,642","22,205","45,060","37,969",569122
JAKS RESOURCES BERHAD,"JAKS  
 ",31/1/2005,1,31/10/2005,29 Mar 2005  ,56224,0,56224,0,"5,726",0,"5,726",0,"5,101",0,"5,101",0,569125
RHYTHM CONSOLIDATED BERHAD,"RHYTHM  
 ",31/3/2005,3,30/6/2005,30 May 2005  ,14536,12784,44882,39520,439,-817,"1,806","1,115",417,-867,"1,478",820,569130
PAN PACIFIC ASIA BERHAD,"PPAB  
 ",31/3/2005,3,30/6/2005,27 May 2005  ,0,0,0,0,"-9,497","-8,848","-28,968","-30,849","-9,497","-8,848","-28,968","-30,849",569134
PADINI HOLDINGS BERHAD,"PADINI  
 ",31/3/2005,3,30/6/2005,30 May 2005  ,63796,53178,188067,166244,"9,731","2,635","22,695","13,764","7,447","1,775","16,476","9,310",569137
JOHN MASTER INDUSTRIES BERHAD,"JMI  
 ",31/3/2005,4,31/3/2005,30 May 2005  ,17180,16799,58464,59365,250,"-1,870","1,623","1,081",792,"-2,928","1,502",-785,569141
ORIENTAL FOOD INDUSTRIES HOLDINGS BERHAD,"OFI  
 ",31/3/2005,4,31/3/2005,30 May 2005  ,26252,21428,96632,81136,"2,619",613,"9,607","6,993","2,417",155,"8,001","5,259",569145
MALAYSIAN PLANTATIONS BERHAD,"MPLANT  
 ",31/3/2005,4,31/3/2005,30 May 2005  ,370129,321402,1443466,1429744,"43,556","52,631","299,679","277,038","31,619","51,918","215,055","202,152",569149
TENGGARA OIL BERHAD,"TENGARA  
 ",31/1/2005,4,31/1/2005,30 Mar 2005  ,7702,8742,32545,38219,"-8,315",-248,"-13,407","-3,934","-8,265",-297,"-13,478","-4,071",569152
CHIN FOH BERHAD,"CHINFOH  
 ",31/1/2005,4,31/1/2005,31 Mar 2005  ,45853,70774,219974,279129,"-5,867","-2,363","-1,437","-2,019","-5,813","-1,313","-5,308","-3,342",569155
SELANGOR PROPERTIES BERHAD,"SPB  
 ",31/1/2005,1,31/10/2005,29 Mar 2005  ,47527,41509,47527,41509,"28,643","28,256","28,643","28,256","26,887","26,368","26,887","26,368",569158
ORNAPAPER BERHAD,"ORNA  
 ",31/3/2005,1,31/12/2005,25 May 2005  ,40246,31281,40246,31281,"-1,231","1,120","-1,231","1,120",-824,"1,026",-824,"1,026",569218
PLASTRADE TECHNOLOGY BERHAD,"PTB  
 ",31/3/2005,1,31/12/2005,26 May 2005  ,9296,8112,9296,8112,465,974,465,974,365,861,365,861,569224
MEGA FIRST CORPORATION BERHAD,"MFCB  
 ",31/3/2005,3,30/6/2005,26 May 2005  ,126563,114087,428758,319342,"18,397","18,625","47,630","50,194","10,954","9,185","24,582","24,777",569227
WELLI MULTI CORPORATION BERHAD,"WELLI  
 ",31/3/2005,1,31/12/2005,27 May 2005  ,123881,97483,123881,97483,573,398,573,398,782,355,782,355,569237
LIQUA HEALTH CORPORATION BERHAD,"LIQUA  
 ",31/3/2005,1,31/12/2005,26 May 2005  ,7673,11174,7673,11174,"-1,317",-547,"-1,317",-547,"-1,317",-701,"-1,317",-701,569238
BOLTON BERHAD,"BOLTON  
 ",31/3/2005,1,31/12/2005,26 May 2005  ,29056,32019,29056,32019,"3,932","4,110","3,932","4,110","2,007","3,178","2,007","3,178",569239
MULTI-PURPOSE HOLDINGS BERHAD,"MPHB  
 ",31/3/2005,1,31/12/2005,26 May 2005  ,37975,34233,37975,34233,"16,650","35,863","16,650","35,863","9,658","22,999","9,658","22,999",569250
SIN CHEW MEDIA CORPORATION BERHAD,"SINCHEW  
 ",31/3/2005,4,31/3/2005,26 May 2005  ,109450,,409529,,"15,259",,"70,049",,"11,818",,"59,772",,569252
YTL LAND & DEVELOPMENT BERHAD,"YTLLAND  
 ",31/3/2005,3,30/6/2005,27 May 2005  ,41502,28050,129931,71730,"13,759","4,979","32,131","17,387","9,364","4,017","27,197","13,722",569253
TDM BERHAD,"TDM  
 ",31/3/2005,1,31/12/2005,26 May 2005  ,36967,47694,36967,47694,"1,830","-4,872","1,830","-4,872","1,100","-5,262","1,100","-5,262",569254
AKN MESSAGING TECHNOLOGIES BERHAD,"AKNMTEC  
 ",31/3/2005,3,30/6/2005,26 May 2005  ,12027,8859,30330,23107,"5,147","3,827","11,607","10,487","4,821","3,857","11,585","10,502",569258
GUTHRIE ROPEL BERHAD,"GROPEL  
 ",31/3/2005,1,31/12/2005,26 May 2005  ,33238,38309,33238,38309,"4,760","8,157","4,760","8,157","3,367","5,366","3,367","5,366",569261
GLOBAL SOFT (MSC) BHD.,"GLOSOFT  
 ",31/3/2005,1,31/12/2005,26 May 2005  ,1127,1833,1127,1833,255,"1,004",255,"1,004",252,"1,003",252,"1,003",569263
AMALGAMATED CONTAINERS BERHAD,"ACB  
 ",31/3/2005,3,30/6/2005,24 May 2005  ,83859,82784,229599,183258,"7,672","8,440","20,008","7,626","5,111","5,135","11,640","3,695",569266
MULPHA INTERNATIONAL BERHAD,"MULPHA  
 ",31/3/2005,1,31/12/2005,20 May 2005  ,338092,176406,338092,176406,"164,281","-8,742","164,281","-8,742","127,991","-9,421","127,991","-9,421",569267
TIME ENGINEERING BERHAD,"TIME  
 ",31/3/2005,1,31/12/2005,20 May 2005  ,109620,378316,109620,378316,"-22,979","46,661","-22,979","46,661","-24,558","33,305","-24,558","33,305",569273
TRANSMILE GROUP BERHAD,"TRANMIL  
 ",31/3/2005,1,31/12/2005,20 May 2005  ,71329,59254,71329,59254,"15,036","13,532","15,036","13,532","10,816","7,039","10,816","7,039",569276
DIGISTAR CORPORATION BERHAD,"DIGISTA  
 ",31/3/2005,2,30/9/2005,24 May 2005  ,8420,14542,20695,28025,"1,272","2,043","3,129","4,247",859,"1,438","2,169","2,961",569289
DEGEM BERHAD,"DEGEM  
 ",31/3/2005,1,31/12/2005,25 May 2005  ,25935,28076,25935,28076,"2,494","4,438","2,494","4,438","1,991","3,127","1,991","3,127",569299
JOHORE TIN BERHAD,"JOHOTIN  
 ",31/3/2005,1,31/12/2005,24 May 2005  ,27344,19317,27344,19317,"2,264","1,633","2,264","1,633","1,597","1,187","1,597","1,187",569301
EURO HOLDINGS BERHAD,"EURO  
 ",31/3/2005,1,31/12/2005,24 May 2005  ,18940,0,18940,0,"2,061",0,"2,061",0,"1,476",0,"1,476",0,569305
APEX HEALTHCARE BERHAD,"AHEALTH  
 ",31/3/2005,1,31/12/2005,24 May 2005  ,52873,50809,52873,50829,"4,306","4,648","4,306","4,648","3,175","3,412","3,175","3,412",569323
VERSATILE CREATIVE BERHAD,"VERSATL  
 ",31/3/2005,1,31/12/2005,19 May 2005  ,16037,12639,16037,12639,-275,-446,-275,-446,-421,-454,-421,-446,569335
NEW HOONG FATT HOLDINGS BERHAD,"NHFATT  
 ",31/3/2005,1,31/12/2005,28 Apr 2005  ,37456,34477,37456,34477,"5,603","5,515","5,603","5,515","4,853","4,731","4,853","4,731",569342
GREEN PACKET BERHAD,"GPACKET  
 ",31/3/2005,1,31/12/2005,19 May 2005  ,7351,1734,7351,1734,"5,018",682,"5,015",682,"5,015",682,"5,015",682,569346
THREE-A RESOURCES BERHAD,"3A  
 ",31/3/2005,1,31/12/2005,29 Apr 2005  ,15323,13231,15323,13231,"1,075","1,297","1,075","1,297",758,872,758,872,569354
LCTH CORPORATION BERHAD,"LCTH  
 ",31/3/2005,1,31/12/2005,28 Apr 2005  ,60805,,60805,,"11,050",,"11,050",,"9,152",,"9,152",,569358
KEMAYAN CORPORATION BHD,"KEMAYAN  
 ",28/2/2005,3,31/5/2005,29 Apr 2005  ,2663,1753,10442,11558,"-25,568","-25,489","-77,797","-71,319","-25,804","-24,916","-78,403","-71,024",569365
INDUSTRIAL CONCRETE PRODUCTS BERHAD,"ICP  
 ",31/3/2005,3,31/3/2005,18 May 2005  ,101629,59242,259351,161626,"8,781","5,246","31,277","12,056","6,453","5,383","25,364","14,750",569384
RAMUNIA HOLDINGS BERHAD,"RAMUNIA  
 ",31/1/2005,1,31/10/2005,1 Apr 2005  ,9811,0,9811,0,407,0,407,0,407,0,407,0,569386
JOBSTREET CORPORATION BERHAD,"JOBS  
 ",31/3/2005,1,31/12/2004,16 May 2005  ,11821,0,11821,0,"3,920",0,"3,920",0,"3,533",0,"3,533",0,569387
K & N KENANGA HOLDINGS BERHAD,"KENANGA  
 ",31/3/2005,1,31/12/2005,18 May 2005  ,33723,51485,33723,51485,"10,004","16,663","10,004","16,663","12,540","11,302","12,540","11,302",569388
MALAYAN BANKING BERHAD,"MAYBANK  
 ",31/3/2005,3,30/6/2005,13 May 2005  ,2489373,2398388,7556440,7038551,"911,857","1,030,938","2,686,197","2,530,473","686,669","683,874","1,935,231","1,777,790",569397
KONSORTIUM LOGISTIK BERHAD,"KONSORT  
 ",31/3/2005,1,31/12/2005,13 May 2005  ,40695,45203,40695,45203,-459,"-2,336",-459,"-2,336",-899,"-3,017",-899,"-3,017",569400
LINGUI DEVELOPMENTS BERHAD,"LINGUI  
 ",31/3/2005,3,30/6/2005,17 May 2005  ,320434,256364,991673,795483,"5,063","10,521","74,159","12,935","23,891","9,475","77,290","7,822",569407
BOUSTEAD HOLDINGS BERHAD,"BSTEAD  
 ",31/3/2005,1,31/12/2005,16 May 2005  ,312893,299306,312893,299306,"73,204","77,878","73,204","77,878","38,298","37,339","38,298","37,339",569416
KHIND HOLDINGS BERHAD,"KHIND  
 ",31/3/2005,1,31/12/2005,17 May 2005  ,31339,31953,31339,31953,-512,508,-512,508,-745,222,-745,222,569423
PAN MALAYSIA HOLDINGS BERHAD,"PMHLDG  
 ",31/3/2005,1,31/12/2005,17 May 2005  ,6358,21090,6358,21090,"4,435",364,"4,435",364,"4,424",342,"4,424",342,569435
LCL CORPORATION BERHAD,"LCL  
 ",31/12/2004,4,31/12/2004,8 Apr 2005  ,32940,28815,97456,28815,"5,463","3,913","15,864","3,913","3,879","2,686","11,138","2,686",569436
PARK MAY BERHAD,"PARKMAY  
 ",31/3/2005,1,31/12/2005,18 May 2005  ,9007,18225,9007,18225,"-1,405","-4,910","-1,405","-4,910","-1,390","-4,817","-1,390","-4,817",569438
HONG LEONG INDUSTRIES BERHAD,"HLIND  
 ",31/3/2005,3,30/6/2005,16 May 2005  ,560874,627212,1793349,1779196,"19,642","58,004","78,411","140,178","8,430","28,931","38,240","65,125",569445
BERJAYA GROUP BERHAD,"BJGROUP  
 ",30/4/2005,4,30/4/2005,29 Jun 2005  ,655340,834402,2950152,5586876,"-56,583","12,215","407,355","188,743","-80,840","-23,683","149,411","-169,331",569459
TRICUBES BERHAD,"TCUBES  
 ",31/3/2005,1,31/12/2005,3 May 2005  ,3995,,3995,,-86,,-86,,14,,14,,569481
YINSON HOLDINGS BERHAD,"YINSON  
 ",30/4/2005,1,31/1/2006,29 Jun 2005  ,102904,104371,102904,104371,"2,287","3,276","2,287","3,276","1,546","2,326","1,546","2,326",569486
KUMPULAN EUROPLUS BERHAD,"KEURO  
 ",30/4/2005,1,31/1/2006,30 Jun 2005  ,13550,40414,13550,40414,"-30,374","19,232","-30,374","19,232","-27,196","13,969","-27,196","13,969",569489
CBS TECHNOLOGY BERHAD,"CBSTECH  
 ",31/3/2005,1,31/12/2005,10 May 2005  ,3235,4318,3235,4318,904,"1,604",904,"1,604",810,"1,275",810,"1,275",569500
KPJ HEALTHCARE BERHAD,"KPJ  
 ",31/3/2005,1,31/12/2005,27 May 2005  ,149658,134247,149658,134247,"10,138","9,770","10,138","9,770","7,498","7,891","7,498","7,891",569517
INDUSTRONICS BERHAD,"ITRONIC  
 ",31/3/2005,1,31/12/2005,27 May 2005  ,23776,14083,23776,14083,"1,630",-635,"1,630",-635,998,-780,998,-780,569527
FURQAN BUSINESS ORGANISATION BERHAD,"FBO  
 ",31/3/2005,1,31/12/2005,27 May 2005  ,17246,14446,17246,14446,"-1,339","1,528","-1,339","1,528","-1,370","1,228","-1,370","1,228",569537
LION INDUSTRIES CORPORATION BERHAD,"LIONIND  
 ",31/3/2005,3,30/6/2005,27 May 2005  ,953470,914466,3013691,2561173,"68,083","397,035","433,932","462,902","48,714","237,758","342,532","270,579",569542
UNREALMIND INTERACTIVE BERHAD,"UNREAL  
 ",31/3/2005,1,31/12/2005,27 May 2005  ,3871,3389,3871,3389,208,"1,004",208,"1,004",178,"1,003",178,"1,003",569543
ALLIANZ GENERAL INSURANCE MALAYSIA BERHAD,"ALLIANZ  
 ",31/3/2005,1,31/12/2005,30 May 2005  ,214167,324203,214167,324203,"-3,216","10,384","-3,216","10,384","-2,867","8,432","-2,867","8,432",569546
LBI CAPITAL BERHAD,"LBICAP  
 ",31/3/2005,1,31/12/2005,27 May 2005  ,22878,20461,22878,20461,"1,364","4,007","1,364","4,007",773,"4,238",773,"4,238",569551
TAKASO RESOURCES BERHAD,"TAKASO  
 ",30/4/2005,3,31/7/2005,28 Jun 2005  ,7672,7931,22281,21372,-416,-434,-764,"-1,854",-416,-434,-926,"-1,855",569564
JPK HOLDINGS BERHAD,"JPK  
 ",31/3/2005,4,31/3/2005,31 May 2005  ,27256,22108,95175,87317,-597,"-3,475","-3,704",35,31,"-2,246","-2,646","1,881",569567
HALIM MAZMIN BERHAD,"HALIM  
 ",31/12/2004,4,31/12/2004,24 Feb 2005  ,28003,33813,127093,131201,"41,449","10,019","71,749","30,249","41,274","9,217","68,930","28,781",569575
EFFICIENT E-SOLUTIONS BERHAD,"EFFICEN  
 ",31/12/2004,4,31/12/2004,24 Feb 2005  ,5232,,22770,,"1,584",,"5,991",,"1,280",,"4,547",,569576
MCM TECHNOLOGIES BERHAD,"MCMTECH  
 ",31/12/2004,3,31/3/2005,24 Feb 2005  ,4028,3119,11574,8661,-625,-758,"-1,476","-1,857",-627,-753,"-1,478","-1,827",569577
PK RESOURCES BERHAD,"PK  
 ",31/12/2004,4,31/12/2004,24 Feb 2005  ,116139,75821,452877,330429,"2,486","-2,067","10,627","-8,970","3,238","-5,455","7,253","-12,078",569581
MAJOR TEAM HOLDINGS BERHAD,"MTEAM  
 ",31/12/2004,4,31/12/2004,25 Feb 2005  ,258,44184,37548,50743,"1,732","6,895","7,902","7,546","1,108","5,717","5,119","6,368",569612
CEMENT INDUSTRIES OF MALAYSIA BERHAD,"CIMA  
 ",31/12/2004,4,31/12/2004,24 Feb 2005  ,145726,141210,566004,564099,"1,358","8,738","17,024","25,810",524,"5,132","13,596","18,980",569621
MARCO HOLDINGS BERHAD,"MARCO  
 ",31/3/2005,1,31/12/2005,30 May 2005  ,16538,15826,16538,15826,996,793,996,793,699,466,699,466,569627
KPS CONSORTIUM BERHAD,"KPSCB  
 ",31/12/2004,4,31/12/2004,29 Mar 2005  ,59389,73281,255240,290764,"-1,420","-1,504","5,298","7,714","-1,563",617,"3,715","6,493",569641
GOLDEN HOPE PLANTATIONS BERHAD,"GHOPE  
 ",31/3/2005,3,30/6/2005,30 May 2005  ,817951,683447,2376451,2215339,"108,270","82,540","620,790","317,205","86,016","62,086","467,104","242,050",569643
MNI HOLDINGS BERHAD,"MNI  
 ",31/3/2005,4,31/3/2005,30 May 2005  ,657078,657892,2384604,2048559,"66,442","41,982","118,621","130,214","46,839","44,629","69,305","87,554",569647
MEASAT GLOBAL BERHAD,"MEASAT  
 ",31/12/2004,4,31/12/2004,23 Feb 2005  ,33149,32377,129639,126714,"10,333","3,890","21,892","1,530","7,497","2,761","14,046","-1,806",569653
NATIONWIDE EXPRESS COURIER SERVICES BERHAD,"NATWIDE  
 ",31/12/2004,3,31/3/2005,22 Feb 2005  ,17197,16143,52760,49640,"1,712","1,603","4,998","6,186","1,134","1,089","3,401","4,367",569664
DAMANSARA REALTY BHD,"DBHD  
 ",31/3/2005,1,31/12/2005,30 May 2005  ,16739,15557,16739,15557,"-1,677","1,128","-1,677","1,128","-2,057","1,171","-2,057","1,171",569666
HI-CITY BIOSCIENCE GROUP BERHAD,"HICITY  
 ",31/12/2004,4,31/12/2004,23 Feb 2005  ,8762,,34725,,"1,594",,"6,810",,"1,347",,"5,727",,569675
UAC BERHAD,"UAC  
 ",31/3/2005,1,31/12/2005,30 May 2005  ,49031,50150,49031,50150,"10,720","12,830","10,720","12,830","8,046","9,495","8,046","9,495",569676
APOLLO FOOD HOLDINGS BERHAD,"APOLLO  
 ",31/1/2005,3,30/4/2005,30 Mar 2005  ,31471,29185,92704,88361,"3,051","5,051","11,213","16,096","2,561","4,200","9,540","12,959",569688
MALAYSIA PACIFIC CORPORATION BERHAD,"MPCORP  
 ",31/3/2005,3,30/6/2004,27 May 2005  ,7510,4757,19847,14509,"-2,149","-1,999","-11,442","-6,466","-2,185","-2,149","-11,962","-6,957",569693
KUMPULAN EMAS BERHAD,"KEMAS  
 ",31/1/2005,2,31/7/2005,31 Mar 2005  ,11744,5616,26762,16792,"-3,013",-381,"-6,573","2,599","-2,833",-466,"-7,793","1,304",569694
KPS CONSORTIUM BERHAD,"KPSCB  
 ",31/12/2004,4,31/12/2004,31 Mar 2005  ,59389,73281,255240,290764,"-1,420","-1,504","5,298","7,714","-1,563",617,"3,715","6,493",569698
AIC CORPORATION BERHAD,"AIC  
 ",31/3/2005,1,31/12/2005,27 May 2005  ,46903,35461,46903,35461,"-3,989",815,"-3,989",815,"-4,298",19,"-4,298",19,569705
